Reviewer Name,Review Title,Place of Review,Up Votes,Down Votes,Month,Review text,Ratings,Cleaned Review Text,Sentiment
Hemendra  Singh Thakur,Really Nice,"Certified Buyer, Navi Mumbai",8.0,3.0,Nov 2018,Superb quality... And best price.. Thanks to flipkart..!READ MORE,4,superb quality and best price thanks to flipkartread more,Positive
Venkatesh Yerra,Utterly Disappointed,"Certified Buyer, Hyderabad",4.0,1.0,Aug 2018,second quality shuttles .. don't buy it... all are almost torn and shaped out... worst experience... go and buy in shop which costs around 750-800READ MORE,1,second quality shuttles  dont buy it all are almost torn and shaped out worst experience go and buy in shop which costs around 750800read more,Negative
Ashu Tosh,Really Nice,"Certified Buyer, Mysuru",5.0,1.0,Dec 2018,I don't think it is genuine cos I had it checked on the official website of yonex with the hologram number. Yet product is not bad and it does the job well. I will definitely be comparing this one with an original one from a shop near by and let others know the difference if any.READ MORE,4,i dont think it is genuine cos i had it checked on the official website of yonex with the hologram number yet product is not bad and it does the job well i will definitely be comparing this one with an original one from a shop near by and let others know the difference if anyread more,Positive
Flipkart Customer,Absolute rubbish!,Certified Buyer,1.0,0.0,Oct 2022,"I've Received 6 duplicate n cheapest balls ,kept inside a broken box, which it was done deleberately. Worst experience, I've ever had with Flipkart. Can buy anything, except badminton yonex mavis 350.READ MORE",1,ive received 6 duplicate n cheapest balls kept inside a broken box which it was done deleberately worst experience ive ever had with flipkart can buy anything except badminton yonex mavis 350read more,Negative
Prashanth Nagendra,Horrible,"Certified Buyer, Bangalore",1.0,0.0,Sep 2022,"Quality is not good, rejected qualityREAD MORE",1,quality is not good rejected qualityread more,Positive
Mohit,Mind-blowing purchase,"Certified Buyer, Pathankot",1.0,0.0,Nov 2021,This green cap shuttle is very good for indoor as well as outdoor play. Though it has a slow speed and is durable. Thanks for a great dealREAD MORE,5,this green cap shuttle is very good for indoor as well as outdoor play though it has a slow speed and is durable thanks for a great dealread more,Positive
Sajin Raj,Terrific purchase,"Certified Buyer, Chennai",0.0,0.0,Oct 2021,Really Nice productQuick delivery Thanks filpkartREAD MORE,5,really nice productquick delivery thanks filpkartread more,Positive
Flipkart Customer,Awesome,"Certified Buyer, Katol",2.0,0.0,Aug 2021,Very nice shuttleREAD MORE,5,very nice shuttleread more,Positive
Flipkart Customer,Don't waste your money,"Certified Buyer, Haldwani",0.0,0.0,Jun 2021,Horrible product....each shuttle didn't last even I single day....Extremely poor quality..PatheticREAD MORE,1,horrible producteach shuttle didnt last even i single dayextremely poor qualitypatheticread more,Negative
Razi Sadath,Worst experience ever!,"Certified Buyer, Tanalur",0.0,0.0,Jun 2021,Quality very low. Not orginalREAD MORE,1,quality very low not orginalread more,Positive
Mogan M,Unsatisfactory,"Certified Buyer, Bodinayakanur",0.0,0.0,Jun 2021,WorstREAD MORE,1,worstread more,Positive
Rahul Jaisinghani,Very poor,"Certified Buyer, Sagar",0.0,0.0,Jun 2021,Their is difference in online quality and market quality. local market products is far better than online productsREAD MORE,1,their is difference in online quality and market quality local market products is far better than online productsread more,Positive
Flipkart Customer,Worst experience ever!,"Certified Buyer, Agra",0.0,0.0,Jun 2021,Dont but it.... worst productREAD MORE,1,dont but it worst productread more,Negative
SANTOSH SANTOSH,Very poor,"Certified Buyer, Uttara Kannada District",0.0,0.0,Jun 2021,Low quality very bad quality 😡READ MORE,1,low quality very bad quality read more,Negative
Tejas Dukhande,Utterly Disappointed,"Certified Buyer, Mumbai",0.0,0.0,May 2021,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1,the product is not original the cork used to come out within 2 days of its use please dont buy these shuttles its not original rather buy from the shop itself the shop rates are the sameread more,Positive
Barath T,Worthless,"Certified Buyer, Gangaikondan",0.0,0.0,May 2021,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1,quality was not good as earlier also the manufactur date also very long back earlier shuttlecocks i received with max past month manufacturer but now that also too backread more,Negative
Venkat  Kolishetti ,Absolute rubbish!,"Certified Buyer, Hyderabad",0.0,0.0,May 2021,Not genuine productREAD MORE,1,not genuine productread more,Positive
Akhil Aki,Waste of money!,"Certified Buyer, Nagireddipalle",0.0,0.0,May 2021,Waste productREAD MORE,1,waste productread more,Positive
Md Nezam,Absolute rubbish!,"Certified Buyer, Islampur",0.0,0.0,May 2021,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1,i have used same shuttle before this item is not the same quality its to slow disappointed that timeread more,Negative
Damodar Naidu,Waste of money!,"Certified Buyer, Chittoor District",0.0,0.0,May 2021,Very High PriceREAD MORE,1,very high priceread more,Positive
Manju Vijay,Waste of money!,"Certified Buyer, Hassan District",0.0,0.0,Apr 2021,"Bad bad , compare to ah year back coming mavis 350READ MORE",1,bad bad  compare to ah year back coming mavis 350read more,Negative
Sudesh Pareek,Just wow!,"Certified Buyer, Kekri",2.0,0.0,Apr 2021,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5,the yonex mavis 350 is the best among all the yonex shuttlecocks i am playing with it for more than one year but the price is increasing unnecessarily it was rs 729 in the last yearread more,Positive
Prabhat Sehgal,Worst experience ever!,"Certified Buyer, Shivpuri",0.0,0.0,Apr 2021,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1,very bad product quality i have used 3shuttle in only 3days totally wastage of money copied productread more,Negative
Suraj Singh,Very poor,"Certified Buyer, Bengaluru",0.0,0.0,Apr 2021,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1,all shuttles were heavier than the specifications it felt like we were playing with a cheap rip off of the original mavis 350read more,Positive
Laxman  Chalamarad,Don't waste your money,"Certified Buyer, Koppal",0.0,0.0,Apr 2021,3rd class quality  I want Returns but time is overREAD MORE,1,3rd class quality  i want returns but time is overread more,Positive
Abhilash H M,Very poor,"Certified Buyer, Bangalore",0.0,0.0,Apr 2021,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1,worst shuttle ever the shuttles started spinning after few shots and did not even come for a gameread more,Negative
Flipkart Customer,Not recommended at all,"Certified Buyer, Chennai",0.0,0.0,Apr 2021,Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1,certain corks are damaged certain corks are not even came for 2 matchesread more,Positive
Sadique P,Absolute rubbish!,"Certified Buyer, Nilambur",0.0,0.0,Apr 2021,Very bad quality 👎READ MORE,1,very bad quality read more,Negative
Ganesh Reddy,Terrible product,"Certified Buyer, Nellore",1.0,0.0,Feb 2021,Not expected qualityREAD MORE,1,not expected qualityread more,Positive
Anurag Tiwari,Don't waste your money,"Certified Buyer, Varanasi",1.0,0.0,Feb 2021,Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1,bad quality couldnt play 1hr  by an shuttleread more,Negative
pankaj pathania,Waste of money!,"Certified Buyer, Pune",1.0,0.0,Jan 2021,not durable. very poor qualityREAD MORE,1,not durable very poor qualityread more,Negative
Ravi Kumar,Good quality product,"Certified Buyer, Mysore",1.0,0.0,Jan 2021,but price is littel bit highREAD MORE,4,but price is littel bit highread more,Positive
Rajneesh  babre,Terrific purchase,"Certified Buyer, Longowal",0.0,0.0,Sep 2020,GoodREAD MORE,5,goodread more,Positive
Sanjay R,Just okay,"Certified Buyer, Hosdurga",1.0,0.0,Aug 2020,NiceREAD MORE,3,niceread more,Positive
Flipkart Customer,Perfect product!,"Certified Buyer, Thrissur District",0.0,0.0,Jul 2020,not the required one.READ MORE,5,not the required oneread more,Positive
Flipkart Customer,Not recommended at all,"Certified Buyer, Thiruverumbur",2.0,0.0,Jul 2020,This product is not original.please avoid online purchase.READ MORE,1,this product is not originalplease avoid online purchaseread more,Positive
Satish Gowda,Worthless,"Certified Buyer, Bangalore",1.0,0.0,Jul 2020,One shuttle was damaged and vobling..let me know what to doREAD MORE,1,one shuttle was damaged and voblinglet me know what to doread more,Positive
Sanadid Sarwar,Good choice,"Certified Buyer, Barauni",0.0,0.0,Mar 2020,Good quality productREAD MORE,4,good quality productread more,Positive
Rudra Pratap Singh,Terrific purchase,"Certified Buyer, Jhansi",0.0,0.0,Dec 2019,Good shuttle and  classic productREAD MORE,5,good shuttle and  classic productread more,Positive
Flipkart Customer,Don't waste your money,"Certified Buyer, Garhwal District",2.0,0.0,Sep 2019,got defective piecesREAD MORE,1,got defective piecesread more,Positive
Surendra Kumar  Bhakta,Horrible,"Certified Buyer, Jsw Steel Plant Township",1.0,0.0,Jun 2019,"bad packing, unsatisfiedREAD MORE",1,bad packing unsatisfiedread more,Negative
Deepak Singh,Awesome,"Certified Buyer, Gwalior",1.0,0.0,Apr 2019,Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5,pros1 quality product by yonexit is original2 shuttle runs very long3 prompt delivery by flipkart4 shuttle is durablecons1noneread more,Positive
Flipkart Customer,Super!,"Certified Buyer, Pathanamthitta District",2.0,0.0,Apr 2019,good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5,good quality  nice product  thanks fpr fast deliveryread more,Positive
Rishi prakash,Brilliant,"Certified Buyer, Baramati",2.0,0.0,Feb 2019,Nice cockeREAD MORE,5,nice cockeread more,Positive
Deepak Sisodiya,Just wow!,"Certified Buyer, Mumbai",2.0,0.0,Feb 2019,Good qualityREAD MORE,5,good qualityread more,Positive
Rajdip Bhadra Chaudhuri,Duplicate product sold by RetailNet.,"Certified Buyer, Bhubaneswar",2.0,0.0,Jan 2019,Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1,scratch code mentioned in the barrel was verified in yonex  sunrise website it mentioned that the product was duplicateread more,Positive
Arsh Azad,Really Nice,"Certified Buyer, Godda",2.0,0.0,Jan 2019,it's awsm 😎READ MORE,4,its awsm read more,Positive
thlamuana ngamlai,Best in the market!,"Certified Buyer, Haflong",2.0,0.0,Dec 2018,reasonable priceREAD MORE,5,reasonable priceread more,Positive
Flipkart Customer,Super!,"Certified Buyer, Hyderabad",2.0,0.0,May 2018,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5,excellent product  its 100 original product which i have received  fast delivery  no second tough go for itread more,Positive
MOHAMED SALAHUDEEN,Just wow!,"Certified Buyer, Tiruchirappalli",2.0,2.0,Sep 2017,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5,one of the best offer given by my flipkart best shuttle for tournaments and training always use this type of shuttles for play no1 yonex 350mavis green thanks to flipkart for best deal  always put these type of deal  i have booked for 599 onlyread more,Positive
Flipkart Customer,Delightful,"Certified Buyer, Bally",1.0,1.0,Jan 2018,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4,good  no question about it  lasting for 1520 matches  but you can purchase yonex mavis 350 blue one  little bit fast but good for smash  lasting same like green capread more,Positive
Atul Jain,Good for starters but not the best.,"Certified Buyer, Sagar",1.0,1.0,Jan 2018,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4,mavis 350 is quite durable and and really good for starters but i recommend mavis 500 for best practice sessionsread more,Positive
Daya Shanker Prasad,Wonderful,"Certified Buyer, Bangalore",1.0,1.0,Dec 2017,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4,received product before committed time thanks flipkart this mavis 350 is really awesome product it doesnt matter whether you are beginners intermediate or advanced level of player this mavis 350 is definitely perfectly works for all i am playing with this from last 2 yearsread more,Positive
Nitin Mishra,Simply awesome,"Certified Buyer, Bengaluru",1.0,1.0,Oct 2017,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5,good very nicely packed and everyshuttle was very nice insude with perfect flightread more,Positive
vinay singh,Worth every penny,"Certified Buyer, Godda",8.0,5.0,Apr 2018,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5,got this product earlier than expected at rs689 on 7 th april 2018  on sale box was properly sealed with feb2018 packingimport date i m not sure but mrp was 1040 so for me it was way cheaper than market price here rs 750 per box i also checked popular websites but no one was close to flipkart at that point i always use mavis 350 green cap for its stability durability and speed in open court thanks flipkart hoping cheaper deal againread more,Positive
Kinjal Mukhopadhyay,Mind-blowing purchase,"Certified Buyer, Rishra",6.0,2.0,Jan 2019,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5,this is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle mavis 300 is hard to find at times so 350 is a savior as its always available yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop flipkart has offered best price in almost all season so far longevity of the shuttles are starkly less when played with at outdoor dueread more,Positive
Sivaraj Balajee Thirunavukkarasu,Wonderful,"Certified Buyer, Chennai",0.0,0.0,May 2018,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4,after a long time got an entire box of genuine shuttles dynamic pricing strategy is a big no everyday prices cant go up and down otherwise we would be more than happy to buyread more,Positive
Tob Jeet,Delightful,"Certified Buyer, Papum Pare District",0.0,0.0,May 2018,very good product n durable but not good enough speed slows down little in mid airREAD MORE,4,very good product n durable but not good enough speed slows down little in mid airread more,Positive
Flipkart Customer,Brand new and Genuine,"Certified Buyer, Kannur",0.0,0.0,Apr 2018,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4,the shuttles were imported in february 2018 bought march last and the serial number revealed after scratching the sticker shows that the item is genuine did not start to play yet but the items look good and sturdy got it for 708 and i think it is worth for the price also happy to get the items delivered quicklyread more,Positive
Tarun kumar Pal,Must buy!,"Certified Buyer, New Delhi",0.0,0.0,Feb 2018,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5,best shuttlecocks its life is far better than li ning or any other shuttle in this price range i purchased it from rs654  during sale its flight is also better than other shuttlecocksread more,Positive
Flipkart Customer,Nice product,"Certified Buyer, Naharlagun",0.0,2.0,Sep 2017,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4,good n nice balanced shuttles thanks retailnet n flipkart hope wel get more convincing rates of lowered oneread more,Positive
Flipkart Customer,Simply awesome,"Certified Buyer, Bengaluru",2.0,0.0,Jan 2022,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5,this shuttle is the best one it is excellent  price doesnt matter read more,Positive
Vinayakam  Nagaraju,Hated it!,"Certified Buyer, Coimbatore",3.0,1.0,Dec 2021,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1,quality  very badper day one cork finishedmay be it look like duplicate  mavis 350 corksi purchased  many cork boxes  from all sellersthat all cork  boxes  comes  15 days  for playing but this box stays only 6 days so you understand  how delicate this cork box  isread more,Positive
krishnaa dev,Unsatisfactory,"Certified Buyer, Coimbatore District",1.0,1.0,Feb 2021,Cost is too high I hate the productREAD MORE,1,cost is too high i hate the productread more,Negative
Flipkart Customer,Utterly Disappointed,"Certified Buyer, Pune",1.0,1.0,Dec 2020,Very poor quality...inconsistent speed...poor flightREAD MORE,1,very poor qualityinconsistent speedpoor flightread more,Negative
INDERJIT SINGH,Excellent,"Certified Buyer, Shahid Bhagat Singh Nagar District",3.0,0.0,Feb 2019,Yonex is always best in quality....READ MORE,5,yonex is always best in qualityread more,Positive
Vijay Anand,Worthless,"Certified Buyer, Chennai",3.0,1.0,Jul 2018,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1,worst shuttle these doesnt last even for a day very poor quality not sure if it is due to stock issue or is that a copy product i would never buy this through flipkartread more,Negative
Flipkart Customer,MAVIS 350,"Certified Buyer, Bhadrachalam",3.0,0.0,Apr 2019,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5,i have used this product good for economic use durable and good balance long lasting even sustains wrong shots quiet economic when compared with feather shuttlesread more,Positive
Samson P Vanlalfela,Excellent,"Certified Buyer, Lunglei",4.0,1.0,Mar 2018,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5,im very happy with this product and its quality it arrived before its actual delivery date given thanks flipkart for your quick delivery  i recommended it to everyone who would like to enjoy a longer and satisfied gamesread more,Positive
Chander Shekhar,Mind-blowing purchase,"Certified Buyer, New Delhi",4.0,2.0,May 2017,Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5,amazing shuttlecockdurable and of best qualitygo for itread more,Positive
Ashis Parida,Just wow!,"Certified Buyer, Cuttack",4.0,2.0,Oct 2018,checked at Sunrisetnt.com . found genuineREAD MORE,5,checked at sunrisetntcom  found genuineread more,Positive
Flipkart Customer,Did not meet expectations,"Certified Buyer, Navi Mumbai",4.0,5.0,Jun 2021,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1,horrible in my 1st order i received mavis 200i which was not sealed and the bill was of mavis 350 i thought it was mistake then i asked for replacement in replacement i received box of mavis 350 which was again not sealed and inside were cheap shuttles of local quality do not buy from flipkartread more,Negative
Swayan Roy,Not good,"Certified Buyer, Balurghat",2.0,2.0,Dec 2019,AverageREAD MORE,2,averageread more,Positive
Indrashis Ghosh,Excellent shuttlecocks,"Certified Buyer, Bangalore",3.0,2.0,Jul 2017,"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",5,excellent synthetic shuttles from yonex i have used 350s 500s as well as 2000s i prefer these yellow ones for the visibility in general the 350s are quite durable and long lasting one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable and i found them to travel shorter distances than the 2000s and therefore prefer themread more,Positive
